TRACT,WALK_SCORE,TRANSIT_SCORE,BIKE_SCORE
156101,39.5,94,107.5
156102,14,94,107.5
160100,376.5,94,107.5
160200,376.5,94,107.5
160300,363,94,107.5
160400,425,94,107.5
160500,385,94,107.5
160601,385,241.5,244.5
160602,405.5,94,107.5
160700,320.5,217,107.5
160800,314.5,196.5,107.5
160900,404,217,107.5
161000,397,196.5,107.5
161100,393,227.5,229
161200,442,212.5,229
161300,444,94,107.5
161400,445,94,107.5
161500,443,94,107.5
161600,440,94,107.5
161700,434.5,244.5,237.5
161800,430,265,260
170101,101.5,94,107.5
170102,114,94,107.5
170201,100,94,107.5
170202,103.5,94,107.5
171102,182.5,94,107.5
171103,120.5,222,248
171104,111.5,209,244.5
171203,214.5,94,107.5
171204,141,94,107.5
171205,150,94,107.5
171206,150,94,107.5
172101,139,94,107.5
172102,164.5,94,107.5
172103,118,94,107.5
172201,159.5,94,107.5
172202,159.5,94,107.5
173103,98,94,107.5
173104,135,94,107.5
173105,74,94,107.5
173106,83.5,94,107.5
173107,76,94,107.5
174103,51,94,107.5
174104,69,94,107.5
174105,129.5,94,107.5
174106,155.5,94,107.5
174107,194.5,94,107.5
174203,53,94,107.5
174204,49,94,107.5
174205,93.5,94,107.5
174206,135,94,107.5
174207,170.5,94,107.5
175103,7.5,94,107.5
175104,18.5,94,107.5
175105,26.5,94,107.5
175106,26.5,94,107.5
175201,12,94,107.5
175202,13,94,107.5
176100,49,94,107.5
176200,73,94,107.5
177101,221,94,107.5
177103,199.5,94,107.5
177104,235,94,107.5
177201,211,94,107.5
177202,263,201,234
177302,110,201,107.5
177303,243,232,264
177304,211,217,241.5
177403,173,94,107.5
177404,176.5,94,107.5
177405,164.5,94,107.5
177406,211,94,107.5
177501,137.5,201,107.5
177503,32,94,107.5
177504,33,94,107.5
177505,10,94,107.5
177604,101.5,94,107.5
177605,57,94,107.5
177606,113,94,107.5
177607,58,94,107.5
177608,85,94,107.5
177609,20.5,94,107.5
178101,194.5,94,107.5
178102,233,94,107.5
178201,240,94,107.5
178204,221,94,107.5
178205,194.5,94,107.5
178206,162,94,107.5
179101,42,94,107.5
179102,16.5,94,107.5
180102,55.5,94,107.5
180103,39.5,94,107.5
180104,67.5,94,107.5
181100,356,249,107.5
181201,282.5,236,107.5
181203,322.5,246.5,107.5
181204,142.5,251,226.5
182103,98,201,107.5
182104,71,188.5,107.5
182105,29,188.5,107.5
182106,9,94,107.5
183100,247.5,255.5,265
183200,186.5,94,107.5
183300,152.5,94,107.5
183401,264,258,254
183402,257.5,287,266
183501,182.5,94,107.5
183502,197.5,94,107.5
183603,284.5,291.5,277
183604,237.5,215,247
183605,197.5,196.5,220.5
183606,199.5,196.5,220.5
184103,42,94,107.5
184104,42,94,107.5
184105,20.5,94,107.5
184106,22.5,94,107.5
184108,22.5,94,107.5
185101,176.5,94,107.5
185102,249,94,107.5
185103,260,94,107.5
185104,214.5,94,107.5
185201,303.5,94,107.5
185202,291.5,94,107.5
185203,257.5,94,107.5
186103,15,94,107.5
186104,37.5,94,107.5
186105,18.5,94,107.5
186106,52,94,107.5
186107,6,94,107.5
186201,16.5,94,107.5
186202,24.5,94,107.5
186203,24.5,94,107.5
186205,35.5,94,107.5
186206,37.5,94,107.5
187103,299,94,107.5
187104,235,94,107.5
187105,269.5,94,107.5
187106,145,94,107.5
188103,144,222,236
188104,162,234.5,253
188105,117,94,107.5
188106,123,94,107.5
188107,109,94,107.5
189105,92,206,107.5
189107,120.5,206,107.5
189108,71,94,107.5
189109,71,94,107.5
189110,61,94,107.5
189111,55.5,94,107.5
189112,157.5,94,107.5
190502,46,94,107.5
190503,62.5,94,107.5
190504,44,94,107.5
192300,90,190.5,251
192800,201.5,297,319
192900,103.5,94,107.5
193800,168,94,107.5
193900,140,94,107.5
194100,82,94,107.5
194300,98,94,107.5
194500,95.5,94,107.5
194800,46,94,107.5
194900,88,94,107.5
195600,54,94,107.5
195700,34,94,107.5
195800,60,94,107.5
195900,11,94,107.5
196000,246,295,107.5
196100,186.5,252,297
196200,127.5,94,107.5
196300,46,94,107.5
196400,166.5,227.5,284
196500,320.5,407,344.5
980100,338.5,409,404
980500,31,227.5,218
981100,79.5,270,232
