TRACT,WALK_SCORE,BIKE_SCORE,DEMOGRAPHIC_SCORE,CRIME_SCORE,LIBRARY_COUNT
124500,218,299,390.5,419.5,144
124600,211,294.5,109.5,405,144
126100,95.5,243,412,156,34.5
127501,242,353.5,109.5,40.5,352.5
130103,83.5,107.5,320.5,351.5,34.5
130104,77,107.5,390.5,263.5,144
130105,105,107.5,320.5,312,144
130106,132.5,107.5,207,312,34.5
131102,150,107.5,109.5,103.5,144
131103,106,107.5,17,210.5,271.5
131104,59,107.5,266.5,312,144
132100,108,107.5,207,40.5,144
132200,87,107.5,109.5,12,144
132301,111.5,107.5,154.5,40.5,144
132302,67.5,107.5,35,23.5,144
133103,146,107.5,320.5,312,34.5
133104,81,107.5,68,40.5,34.5
134100,79.5,218,266.5,405,144
134203,91,107.5,390.5,312,34.5
134204,93.5,107.5,412,263.5,144
134205,49,107.5,360.5,263.5,144
134206,78,107.5,320.5,63.5,144
134300,135,107.5,360.5,405,144
135103,5,107.5,360.5,103.5,34.5
135104,3,107.5,154.5,263.5,34.5
135105,1.5,107.5,207,263.5,34.5
135106,1.5,107.5,207,263.5,34.5
136101,28,107.5,428,156,34.5
136102,7.5,107.5,390.5,263.5,34.5
136103,4,107.5,320.5,103.5,34.5
137101,89,249,266.5,63.5,144
137102,192,290,360.5,156,144
137103,186.5,234,266.5,210.5,144
138105,35.5,218,154.5,382,34.5
138106,62.5,215.5,360.5,439,144
138107,64.5,107.5,360.5,351.5,144
138108,64.5,107.5,360.5,351.5,144
138109,115.5,107.5,207,156,34.5
138110,115.5,107.5,207,156,144
140100,169,224,390.5,210.5,144
140301,182.5,107.5,320.5,263.5,271.5
140302,180,107.5,207,156,144
140400,257.5,107.5,68,23.5,144
140500,254,107.5,207,23.5,144
140600,399,107.5,68,210.5,271.5
140701,288.5,107.5,2.5,156,352.5
140702,350,107.5,1,263.5,271.5
140800,273,107.5,68,12,271.5
140900,331,107.5,8,103.5,352.5
141000,397,107.5,266.5,103.5,352.5
141100,405.5,239.5,266.5,263.5,352.5
141200,324,239.5,412,312,271.5
141300,297,269.5,412,103.5,352.5
141400,244,241.5,439.5,156,352.5
141500,189,107.5,266.5,210.5,271.5
141601,194.5,107.5,109.5,312,144
141602,271,107.5,109.5,312,271.5
141700,225.5,107.5,68,210.5,271.5
150100,346,234,266.5,430,352.5
150300,372.5,237.5,320.5,382,271.5
150400,353,107.5,320.5,419.5,352.5
151100,338.5,229,266.5,405,271.5
151200,266.5,107.5,207,351.5,271.5
151300,329,107.5,320.5,382,144
151400,353,107.5,320.5,419.5,271.5
151500,372.5,107.5,444,312,352.5
151600,419.5,107.5,412,156,271.5
151700,382,260,428,263.5,352.5
151800,382,260,428,263.5,403
152101,221,107.5,207,439,144
152102,221,107.5,207,439,144
152201,127.5,107.5,439.5,312,144
152202,166.5,107.5,412,382,144
152301,125,107.5,266.5,312,34.5
152302,125,107.5,266.5,312,34.5
152303,125,107.5,266.5,312,144
152400,276,267,360.5,382,271.5
152501,294,246,154.5,445,144
152502,237.5,107.5,320.5,419.5,144
152603,155.5,107.5,207,351.5,144
152604,120.5,107.5,360.5,156,144
152701,86,260,154.5,405,34.5
152702,75,251,320.5,405,34.5
152703,30,224,360.5,156,34.5
153103,120.5,224,266.5,156,144
153104,229.5,107.5,320.5,351.5,144
