TRACT,MIN_DOWN,MEDIAN_DOWN,MAX_DOWN,library_in_1.5_miles_count
161400,3,6,5,5
161500,1,2,4,4
161600,3,6,5,4
161700,3,4,4,5
161800,3,4,5,5
170101,3,4,4,6
170102,2,4,4,6
170201,3,6,4,6
170202,3,1,4,7
171102,3,4,4,5
171103,3,4,5,6
171104,3,7,5,7
171203,3,4,5,5
171204,3,4,4,6
171205,2,4,4,6
171206,3,6,4,7
172101,1,4,4,7
172102,3,4,4,7
172103,3,4,1,7
172201,3,4,4,7
172202,3,4,4,7
173103,3,4,4,6
173104,1,4,5,5
173105,1,4,4,6
173106,3,4,4,6
173107,3,6,5,5
174103,3,4,4,6
174104,3,4,5,6
174105,2,4,4,6
174106,3,4,4,7
174107,3,4,1,6
174203,3,6,4,7
174204,3,4,5,6
174205,2,4,4,6
174206,3,4,4,6
174207,3,6,4,7
175103,3,4,4,7
175104,3,4,5,6
175105,1,4,4,6
175106,1,2,4,6
175201,3,4,4,7
175202,1,4,4,7
176100,1,4,4,6
176200,3,6,4,6
177101,1,4,4,6
177103,3,6,4,7
177104,2,2,4,7
177201,1,4,5,6
177202,3,1,4,6
177302,3,1,4,6
177303,1,4,5,6
177304,3,4,4,6
177403,3,7,5,5
177404,3,4,4,5
177405,3,4,4,6
177406,1,4,5,5
177501,3,4,4,6
177503,3,4,4,7
177504,1,4,5,7
177505,3,4,5,7
177604,3,6,5,7
177605,3,4,4,7
177606,3,6,4,6
177607,3,4,5,7
177608,3,6,4,6
177609,3,6,4,7
178101,3,4,4,6
178102,3,4,4,6
178201,3,4,4,5
178204,3,4,4,5
178205,1,4,5,6
178206,3,4,4,6
179101,3,6,4,6
179102,3,6,5,6
180102,3,4,4,6
180103,3,4,4,7
180104,3,4,4,7
181100,3,6,5,6
181201,3,4,5,6
181203,3,6,5,6
181204,3,4,4,6
182103,3,4,4,6
182104,3,6,5,6
182105,3,6,4,6
182106,3,6,6,7
183100,3,4,4,3
183200,3,4,5,4
183300,3,4,5,5
183401,1,4,5,5
183402,1,4,5,4
183501,3,4,4,5
183502,3,4,4,4
183603,3,4,5,3
183604,3,4,4,4
183605,1,4,5,4
183606,3,4,4,4
184103,3,4,5,7
184104,3,6,5,7
184105,1,4,4,6
184106,3,4,5,6
184108,3,6,4,6
185101,3,6,4,6
185102,3,4,5,6
185103,3,4,5,5
185104,1,4,4,5
185201,3,4,5,4
185202,3,4,5,5
185203,3,4,4,5
186103,1,4,5,6
186104,3,4,4,7
186105,3,6,5,7
186106,3,4,3,6
186107,3,6,5,7
186201,3,4,4,6
186202,3,4,4,7
186203,3,6,4,7
186205,3,6,4,6
186206,3,6,5,7
187103,3,6,4,5
187104,3,4,5,5
187105,3,6,4,5
187106,3,4,5,5
188103,3,4,5,5
188104,3,4,4,6
188105,3,4,4,6
188106,3,4,4,6
188107,3,2,4,6
189105,1,2,4,7
189107,3,4,4,6
189108,3,6,5,6
189109,3,1,4,6
189110,1,2,4,6
189111,3,6,4,6
189112,3,6,4,6
190502,3,4,4,6
190503,2,4,5,6
190504,3,6,4,7
192300,3,4,4,7
192800,3,6,3,6
192900,3,4,3,7
193800,3,4,5,6
193900,3,5,5,6
194100,3,6,4,7
194300,3,6,4,6
194500,3,4,5,6
194800,3,4,3,6
194900,3,6,5,6
195600,3,4,4,7
195700,3,4,5,7
195800,3,6,5,7
195900,3,4,4,6
196000,3,6,5,4
196100,3,4,4,7
196200,2,4,5,6
196300,3,6,5,6
196400,3,4,4,5
196500,1,4,1,3
980100,3,4,5,3
980500,3,4,4,7
981100,3,4,4,6
