,tract,total_preschools_one_mile,total_preschools_five_mile,total_elementary_2.5_mile,total_good_elementary_2.5_mile,nearest_elementary_dist,PI_elementary,nearest_elementary,total_middle_2.5_mile,total_good_middle_2.5_mile,nearest_middle_dist,PI_middle,nearest_middle,total_High_2.5_mile,total_good_High_2.5_mile,nearest_High_dist,PI_High,nearest_High
358,118800,4,11,7,7,341,150,"('Wade Park', (41.513975200000004, -81.61287890000001))",6,5,175,2,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",8,5,167,2,"('John Hay Early College High School', (41.5019583, -81.61172579999999))"
90,118900,4,8,7,7,72,161,"('OAK Leadership Institute', (41.509147999999996, -81.626807))",4,4,9,2,"('Citizens Leadership Academy', (41.5089964, -81.61911629999999))",1,1,134,2,"('John Hay Early College High School', (41.5019583, -81.61172579999999))"
186,119100,5,11,6,5,327,150,"('Wade Park', (41.513975200000004, -81.61287890000001))",6,5,88,2,"('Citizens Leadership Academy', (41.5089964, -81.61911629999999))",8,5,7,2,"('John Hay Early College High School', (41.5019583, -81.61172579999999))"
275,119202,6,13,6,6,204,148,"('Sunbeam', (41.489989, -81.600838))",5,5,144,24,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",8,5,90,24,"('Cleveland School Of The Arts High School', (41.5018198, -81.61179809999999))"
359,119300,5,13,6,5,71,79,"('Cleveland Arts and Social Sciences Academy', (41.484193100000006, -81.61105859999999))",5,5,202,66,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",6,4,114,66,"('Woodland Academy', (41.478387700000006, -81.6111923))"
39,119401,4,14,3,5,37,148,"('Sunbeam', (41.489989, -81.600838))",4,4,50,36,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",9,7,51,36,"('HBCU Preparatory School 1', (41.4844347, -81.5950935))"
276,119402,5,17,7,7,158,164,"('Harvey Rice Elementary School', (41.4854276, -81.60416070000001))",4,4,164,36,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",9,7,32,36,"('HBCU Preparatory School 1', (41.4844347, -81.5950935))"
187,119501,6,18,7,10,317,63,"('Roxboro Elementary School', (41.4938999, -81.5888714))",4,4,108,36,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",9,7,46,36,"('HBCU Preparatory School 1', (41.4844347, -81.5950935))"
78,119502,6,18,5,7,224,164,"('Harvey Rice Elementary School', (41.4854276, -81.60416070000001))",4,4,110,36,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",9,7,4,36,"('HBCU Preparatory School 1', (41.4844347, -81.5950935))"
277,119600,6,14,6,5,269,79,"('Cleveland Arts and Social Sciences Academy', (41.484193100000006, -81.61105859999999))",3,3,193,66,"('Entrepreneurship Preparatory School - Woodland Hills Campus', (41.4628878, -81.62217609999999))",7,5,20,66,"('Woodland Academy', (41.478387700000006, -81.6111923))"
7,119701,6,16,6,8,310,60,"('Woodbury Elementary School', (41.4769316, -81.57387309999999))",5,4,254,36,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",8,6,141,36,"('HBCU Preparatory School 1', (41.4844347, -81.5950935))"
392,119702,6,15,6,7,318,164,"('Harvey Rice Elementary School', (41.4854276, -81.60416070000001))",5,4,268,36,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",9,7,118,36,"('HBCU Preparatory School 1', (41.4844347, -81.5950935))"
188,119800,6,18,5,6,336,163,"('Andrew J Rickoff', (41.46344620000001, -81.5794547))",5,4,168,58,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",8,6,259,58,"('John Adams High School', (41.4544124, -81.6016219))"
312,119900,5,19,5,7,126,163,"('Andrew J Rickoff', (41.46344620000001, -81.5794547))",4,4,208,21,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",11,6,119,21,"('Shaker Hts High School', (41.47322, -81.568149))"
279,120200,6,13,3,2,238,159,"('Buckeye-Woodland School', (41.4839348, -81.619176))",3,3,155,66,"('Entrepreneurship Preparatory School - Woodland Hills Campus', (41.4628878, -81.62217609999999))",7,5,24,66,"('Woodland Academy', (41.478387700000006, -81.6111923))"
375,120400,6,16,2,3,56,142,"('Imagine Cleveland Academy', (41.4652592, -81.62093309999999))",4,3,14,66,"('Entrepreneurship Preparatory School - Woodland Hills Campus', (41.4628878, -81.62217609999999))",14,7,239,66,"('Woodland Academy', (41.478387700000006, -81.6111923))"
280,120500,5,17,2,3,102,146,"('Nathan Hale School', (41.460873, -81.607845))",4,3,60,58,"('Entrepreneurship Preparatory School - Woodland Hills Campus', (41.4628878, -81.62217609999999))",13,7,181,58,"('John Adams High School', (41.4544124, -81.6016219))"
330,120600,5,19,3,4,75,146,"('Nathan Hale School', (41.460873, -81.607845))",5,4,135,58,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",11,6,101,58,"('John Adams High School', (41.4544124, -81.6016219))"
110,120701,6,20,6,7,227,157,"('Charles Dickens School', (41.4561847, -81.59171359999999))",5,4,92,58,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",11,6,182,58,"('John Adams High School', (41.4544124, -81.6016219))"
61,120702,5,19,6,8,62,157,"('Charles Dickens School', (41.4561847, -81.59171359999999))",5,4,23,58,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",10,6,107,58,"('John Adams High School', (41.4544124, -81.6016219))"
189,120801,5,20,10,9,153,163,"('Andrew J Rickoff', (41.46344620000001, -81.5794547))",5,3,122,53,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",11,6,247,53,"('John F Kennedy High School', (41.44893270000001, -81.5603283))"
281,120802,5,20,6,7,135,163,"('Andrew J Rickoff', (41.46344620000001, -81.5794547))",5,4,54,58,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",11,6,266,58,"('John Adams High School', (41.4544124, -81.6016219))"
