,tract,total_preschools_one_mile,total_preschools_five_mile,total_elementary_2.5_mile,total_good_elementary_2.5_mile,nearest_elementary_dist,PI_elementary,nearest_elementary,total_middle_2.5_mile,total_good_middle_2.5_mile,nearest_middle_dist,PI_middle,nearest_middle,total_High_2.5_mile,total_good_High_2.5_mile,nearest_High_dist,PI_High,nearest_High
11,138106,6,28,26,22,260,43,"('Brook Park Memorial Elementary School', (41.395858000000004, -81.817727))",6,5,79,18,"('Ford Intermediate School', (41.3935777, -81.8178248))",16,9,401,18,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
442,138107,6,22,23,20,377,53,"('Brookview Elementary School', (41.4044776, -81.7924194))",5,5,210,60,"('Ford Intermediate School', (41.3935777, -81.8178248))",14,6,413,60,"('West Park Academy', (41.426533, -81.77850179999999))"
201,138108,5,26,24,22,148,43,"('Brook Park Memorial Elementary School', (41.395858000000004, -81.817727))",5,5,33,62,"('Ford Intermediate School', (41.3935777, -81.8178248))",14,7,421,62,"('Summit Academy Community School-Parma', (41.403473, -81.7695449))"
69,138109,5,25,24,21,1,53,"('Brookview Elementary School', (41.4044776, -81.7924194))",5,5,192,57,"('Greenbriar Middle School', (41.3964556, -81.7743444))",14,6,287,57,"('Quest Community School', (41.4062808, -81.7704122))"
303,138110,5,26,24,22,161,53,"('Brookview Elementary School', (41.4044776, -81.7924194))",5,5,181,62,"('Greenbriar Middle School', (41.3964556, -81.7743444))",14,6,328,62,"('Summit Academy Community School-Parma', (41.403473, -81.7695449))"
80,140100,6,21,13,10,180,135,"('Oxford Elementary School', (41.535133, -81.54481899999999))",5,4,67,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",12,4,295,45,"('Shaw High School', (41.5367159, -81.5741014))"
403,140301,6,18,13,10,70,139,"('Caledonia Elementary School', (41.5349718, -81.56235629999999))",7,4,72,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",11,3,157,45,"('Shaw High School', (41.5367159, -81.5741014))"
378,140302,6,23,14,12,263,139,"('Caledonia Elementary School', (41.5349718, -81.56235629999999))",6,4,15,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",11,4,291,45,"('Shaw High School', (41.5367159, -81.5741014))"
445,140400,5,23,14,12,85,118,"('Noble Elementary School', (41.5246036, -81.54051170000001))",6,4,25,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",13,7,385,45,"('Shaw High School', (41.5367159, -81.5741014))"
304,140500,5,25,17,14,139,118,"('Noble Elementary School', (41.5246036, -81.54051170000001))",6,4,55,27,"('Monticello Middle School', (41.53078370000001, -81.5487814))",13,7,390,27,"('Brush High School', (41.5220323, -81.5052972))"
202,140600,6,15,8,9,115,42,"('Boulevard Elementary School', (41.5122674, -81.5663177))",6,4,298,45,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",9,8,410,45,"('Shaw High School', (41.5367159, -81.5741014))"
112,140701,4,19,11,11,80,42,"('Boulevard Elementary School', (41.5122674, -81.5663177))",6,4,265,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",15,8,378,45,"('Shaw High School', (41.5367159, -81.5741014))"
12,140702,6,15,12,13,237,42,"('Boulevard Elementary School', (41.5122674, -81.5663177))",5,4,359,33,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",13,8,376,33,"('Cleveland Heights High School', (41.4998796, -81.5298547))"
70,140800,6,21,15,14,294,118,"('Noble Elementary School', (41.5246036, -81.54051170000001))",6,4,189,33,"('Monticello Middle School', (41.53078370000001, -81.5487814))",14,8,332,33,"('Cleveland Heights High School', (41.4998796, -81.5298547))"
203,140900,6,19,14,16,378,42,"('Boulevard Elementary School', (41.5122674, -81.5663177))",5,4,353,33,"('Monticello Middle School', (41.53078370000001, -81.5487814))",14,8,267,33,"('Cleveland Heights High School', (41.4998796, -81.5298547))"
204,141000,6,12,4,4,287,132,"('Superior Elementary School', (41.5217944, -81.588174))",5,4,277,45,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",10,7,381,45,"('Shaw High School', (41.5367159, -81.5741014))"
387,141100,6,13,4,6,364,42,"('Boulevard Elementary School', (41.5122674, -81.5663177))",5,4,165,2,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",10,7,363,2,"('John Hay Early College High School', (41.5019583, -81.61172579999999))"
363,141200,6,15,7,9,322,63,"('Roxboro Elementary School', (41.4938999, -81.5888714))",6,5,107,2,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",9,7,351,2,"('John Hay Early College High School', (41.5019583, -81.61172579999999))"
205,141300,6,16,11,12,10,63,"('Roxboro Elementary School', (41.4938999, -81.5888714))",6,5,3,36,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",10,8,154,36,"('HBCU Preparatory School 1', (41.4844347, -81.5950935))"
437,141400,6,15,13,14,156,63,"('Roxboro Elementary School', (41.4938999, -81.5888714))",6,5,38,36,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",10,8,238,36,"('HBCU Preparatory School 1', (41.4844347, -81.5950935))"
206,141500,6,18,14,16,76,106,"('Fairfax Elementary School', (41.4926768, -81.56586829999999))",6,5,171,21,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",9,8,331,21,"('Shaker Hts High School', (41.47322, -81.568149))"
364,141601,5,14,14,16,178,106,"('Fairfax Elementary School', (41.4926768, -81.56586829999999))",6,5,340,21,"('Shaker Hts Middle School', (41.4771695, -81.53185))",14,9,292,21,"('Shaker Hts High School', (41.47322, -81.568149))"
207,141602,6,17,15,16,189,106,"('Fairfax Elementary School', (41.4926768, -81.56586829999999))",5,4,323,33,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",14,9,370,33,"('Cleveland Heights High School', (41.4998796, -81.5298547))"
95,141700,5,16,14,16,60,70,"('Canterbury Elementary School', (41.492090999999995, -81.55031899999999))",6,5,301,33,"('Shaker Hts Middle School', (41.4771695, -81.53185))",14,9,339,33,"('Cleveland Heights High School', (41.4998796, -81.5298547))"
113,150100,5,12,10,6,9,115,"('Chambers Elementary School', (41.5403177, -81.5822135))",7,4,391,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",11,3,88,45,"('Shaw High School', (41.5367159, -81.5741014))"
13,150300,6,13,10,6,43,137,"('Mayfair Elementary School', (41.5339842, -81.585151))",6,4,407,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",11,3,148,45,"('Shaw High School', (41.5367159, -81.5741014))"
365,150400,6,14,11,7,63,137,"('Mayfair Elementary School', (41.5339842, -81.585151))",7,4,369,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",11,3,59,45,"('Shaw High School', (41.5367159, -81.5741014))"
114,151100,6,15,12,8,87,120,"('Apex Academy', (41.5416253, -81.5662838))",7,4,286,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",11,3,67,45,"('Shaw High School', (41.5367159, -81.5741014))"
115,151200,6,15,12,8,69,120,"('Apex Academy', (41.5416253, -81.5662838))",6,4,145,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",11,3,109,45,"('Shaw High School', (41.5367159, -81.5741014))"
96,151300,6,16,12,8,254,137,"('Mayfair Elementary School', (41.5339842, -81.585151))",7,4,272,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",11,3,73,45,"('Shaw High School', (41.5367159, -81.5741014))"
435,151400,6,16,11,7,171,137,"('Mayfair Elementary School', (41.5339842, -81.585151))",7,4,299,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",11,3,25,45,"('Shaw High School', (41.5367159, -81.5741014))"
429,151500,5,13,8,5,144,132,"('Superior Elementary School', (41.5217944, -81.588174))",5,4,396,45,"('Monticello Middle School', (41.53078370000001, -81.5487814))",8,4,213,45,"('Shaw High School', (41.5367159, -81.5741014))"
116,151600,5,13,7,4,108,132,"('Superior Elementary School', (41.5217944, -81.588174))",5,4,374,45,"('Roxboro Middle School', (41.49416110000001, -81.59005859999999))",8,5,311,45,"('Shaw High School', (41.5367159, -81.5741014))"
117,151700,5,10,6,4,82,132,"('Superior Elementary School', (41.5217944, -81.588174))",5,4,333,45,"('Citizens Leadership Academy', (41.5089964, -81.61911629999999))",8,5,360,45,"('Shaw High School', (41.5367159, -81.5741014))"
118,151800,3,10,8,5,142,132,"('Superior Elementary School', (41.5217944, -81.588174))",5,4,345,59,"('Citizens Leadership Academy', (41.5089964, -81.61911629999999))",8,4,297,59,"('Glenville High School', (41.539004299999995, -81.606617))"
305,152101,5,29,23,18,349,116,"('Arbor Elementary School', (41.5913611, -81.5379709))",6,4,422,46,"('Forest Park Middle School', (41.607335, -81.496349))",14,8,139,46,"('New Day Academy Boarding & Day School', (41.60698, -81.52603540000001))"
331,152102,5,29,22,18,315,116,"('Arbor Elementary School', (41.5913611, -81.5379709))",6,4,415,46,"('Forest Park Middle School', (41.607335, -81.496349))",14,8,130,46,"('New Day Academy Boarding & Day School', (41.60698, -81.52603540000001))"
119,152201,6,30,25,20,357,122,"('Shoreview Elementary School', (41.613333600000004, -81.50374240000001))",7,4,278,46,"('Forest Park Middle School', (41.607335, -81.496349))",15,8,103,46,"('New Day Academy Boarding & Day School', (41.60698, -81.52603540000001))"
306,152202,6,30,24,19,351,122,"('Shoreview Elementary School', (41.613333600000004, -81.50374240000001))",7,4,200,46,"('Forest Park Middle School', (41.607335, -81.496349))",14,8,58,46,"('New Day Academy Boarding & Day School', (41.60698, -81.52603540000001))"
71,152301,6,32,27,21,332,122,"('Shoreview Elementary School', (41.613333600000004, -81.50374240000001))",7,4,226,46,"('Forest Park Middle School', (41.607335, -81.496349))",15,8,398,46,"('New Day Academy Boarding & Day School', (41.60698, -81.52603540000001))"
332,152302,5,31,26,21,196,122,"('Shoreview Elementary School', (41.613333600000004, -81.50374240000001))",7,4,115,46,"('Forest Park Middle School', (41.607335, -81.496349))",15,8,375,46,"('New Day Academy Boarding & Day School', (41.60698, -81.52603540000001))"
417,152303,6,31,26,20,284,122,"('Shoreview Elementary School', (41.613333600000004, -81.50374240000001))",7,4,22,46,"('Forest Park Middle School', (41.607335, -81.496349))",15,8,317,46,"('New Day Academy Boarding & Day School', (41.60698, -81.52603540000001))"
97,152400,6,28,23,19,143,116,"('Arbor Elementary School', (41.5913611, -81.5379709))",7,5,346,38,"('Euclid Central Middle School', (41.5695433, -81.5360939))",13,7,260,38,"('Euclid High School', (41.595733, -81.525088))"
413,152501,6,29,22,18,109,116,"('Arbor Elementary School', (41.5913611, -81.5379709))",6,4,266,38,"('Euclid Central Middle School', (41.5695433, -81.5360939))",13,7,121,38,"('Euclid High School', (41.595733, -81.525088))"
423,152502,6,29,22,18,21,98,"('Pinnacle Academy', (41.590810999999995, -81.527479))",6,4,335,38,"('Euclid Central Middle School', (41.5695433, -81.5360939))",14,8,34,38,"('Euclid High School', (41.595733, -81.525088))"
14,152603,6,28,20,17,296,92,"('Chardon Hills Elementary School', (41.5695073, -81.51959000000001))",6,4,187,32,"('Euclid Central Middle School', (41.5695433, -81.5360939))",13,7,242,32,"('Noble Academy-Cleveland', (41.576758, -81.5397481))"
307,152604,6,29,22,19,249,92,"('Chardon Hills Elementary School', (41.5695073, -81.51959000000001))",6,4,213,32,"('Euclid Central Middle School', (41.5695433, -81.5360939))",13,7,301,32,"('Noble Academy-Cleveland', (41.576758, -81.5397481))"
15,152701,6,25,18,14,220,144,"('Hannah Gibbons-Nottingham Elementary School', (41.569648, -81.55250500000001))",6,4,42,32,"('Euclid Central Middle School', (41.5695433, -81.5360939))",11,5,168,32,"('Noble Academy-Cleveland', (41.576758, -81.5397481))"
308,152702,6,23,15,13,335,154,"('Euclid Park Elementary School', (41.5535114, -81.5529091))",6,4,139,32,"('Euclid Central Middle School', (41.5695433, -81.5360939))",10,3,342,32,"('Noble Academy-Cleveland', (41.576758, -81.5397481))"
309,152703,6,27,18,16,337,92,"('Chardon Hills Elementary School', (41.5695073, -81.51959000000001))",5,4,154,32,"('Euclid Central Middle School', (41.5695433, -81.5360939))",13,6,359,32,"('Noble Academy-Cleveland', (41.576758, -81.5397481))"
368,153103,6,23,23,22,51,39,"('Fairview Park Early Education Learning Center', (41.426957, -81.861186))",7,5,235,67,"('Lewis F Mayer Middle School', (41.4419043, -81.85534870000001))",17,9,392,67,()
72,153104,5,19,21,22,6,54,"('Gilles-Sweet Elementary School', (41.4431686, -81.8648683))",6,5,40,4,"('Lewis F Mayer Middle School', (41.4419043, -81.85534870000001))",16,9,423,4,"('Rocky River High School', (41.473676399999995, -81.85114920000001))"
418,153105,6,16,19,21,250,5,"('Goldwood Primary Elementary School', (41.46062379999999, -81.8593428))",3,4,137,4,"('Lewis F Mayer Middle School', (41.4419043, -81.85534870000001))",16,9,313,4,"('Rocky River High School', (41.473676399999995, -81.85114920000001))"
333,153106,5,19,21,22,140,54,"('Gilles-Sweet Elementary School', (41.4431686, -81.8648683))",7,5,49,67,"('Lewis F Mayer Middle School', (41.4419043, -81.85534870000001))",17,9,392,67,()
310,153107,6,13,19,20,368,68,"('Douglas MacArthur', (41.43512, -81.833189))",2,4,214,4,"('Lewis F Mayer Middle School', (41.4419043, -81.85534870000001))",15,9,405,4,"('Rocky River High School', (41.473676399999995, -81.85114920000001))"
419,154100,6,25,11,10,221,100,"('Warner Girls Leadership Academy', (41.4386771, -81.6275783))",4,3,159,34,"('Cuyahoga Hts Middle School', (41.427228899999996, -81.64196779999999))",14,8,92,34,"('Garfield Heights High School', (41.4277145, -81.6146393))"
73,154200,6,22,12,9,372,110,"('Elmwood Elementary School', (41.4180872, -81.6059938))",4,3,370,34,"('Cuyahoga Hts Middle School', (41.427228899999996, -81.64196779999999))",14,8,61,34,"('Garfield Heights High School', (41.4277145, -81.6146393))"
120,154300,6,21,11,8,270,149,"('Miles School', (41.4445923, -81.5992596))",4,3,284,34,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",13,7,194,34,"('Garfield Heights High School', (41.4277145, -81.6146393))"
414,154400,6,27,16,14,293,24,"('Cuyahoga Hts Elementary School', (41.4256407, -81.64263609999999))",6,4,80,13,"('Cuyahoga Hts Middle School', (41.427228899999996, -81.64196779999999))",14,8,135,13,"('Cuyahoga Hts High School', (41.4272786, -81.64272170000001))"
311,154501,5,26,21,17,209,110,"('Elmwood Elementary School', (41.4180872, -81.6059938))",6,4,252,34,"('Garfield Heights Middle School', (41.40515739999999, -81.6010845))",14,8,86,34,"('Garfield Heights High School', (41.4277145, -81.6146393))"
98,154502,6,29,25,20,215,109,"('Maple Leaf Elementary School', (41.406068, -81.599361))",7,4,34,34,"('Garfield Heights Middle School', (41.40515739999999, -81.6010845))",15,8,414,34,"('Garfield Heights High School', (41.4277145, -81.6146393))"
106,154601,6,22,16,13,258,110,"('Elmwood Elementary School', (41.4180872, -81.6059938))",5,3,262,34,"('Garfield Heights Middle School', (41.40515739999999, -81.6010845))",13,7,217,34,"('Garfield Heights High School', (41.4277145, -81.6146393))"
334,154603,5,27,22,18,36,90,"('William Foster Elementary School', (41.4146536, -81.59456970000001))",7,4,62,34,"('Garfield Heights Middle School', (41.40515739999999, -81.6010845))",15,8,349,34,"('Garfield Heights High School', (41.4277145, -81.6146393))"
209,154604,5,28,24,20,168,109,"('Maple Leaf Elementary School', (41.406068, -81.599361))",7,4,44,44,"('Garfield Heights Middle School', (41.40515739999999, -81.6010845))",15,8,389,44,"('Maple Heights High School', (41.4129122, -81.5614395))"
91,154700,6,20,13,9,381,153,"('Charles W Eliot  School', (41.44562929999999, -81.570441))",4,1,321,53,"('Chapelside Cleveland Academy', (41.4540529, -81.5905679))",12,6,362,53,"('John F Kennedy High School', (41.44893270000001, -81.5603283))"
121,155101,6,30,26,23,415,101,"('Richmond Heights Elementary School', (41.5547732, -81.49289759999999))",7,5,425,15,"('Mayfield Middle School', (41.5297553, -81.4377439))",15,8,314,15,"('Mayfield High School', (41.5365444, -81.45948299999999))"
40,155102,5,29,24,23,170,52,"('Millridge Hearing Center', (41.535446, -81.476516))",6,5,399,15,"('Memorial Junior High School', (41.5258261, -81.5078735))",14,8,212,15,"('Mayfield High School', (41.5365444, -81.45948299999999))"
122,156101,6,30,26,21,436,24,"('Cuyahoga Hts Elementary School', (41.4256407, -81.64263609999999))",5,4,382,13,"('Cuyahoga Hts Middle School', (41.427228899999996, -81.64196779999999))",14,9,394,13,"('Cuyahoga Hts High School', (41.4272786, -81.64272170000001))"
236,156102,5,32,29,23,50,7,"('Independence Primary School', (41.367574, -81.63331))",6,5,148,6,"('Independence Middle School', (41.3736412, -81.6468275))",16,9,265,6,"('Independence High School', (41.3741954, -81.64907020000001))"
237,160100,5,25,26,23,30,84,"('Horace Mann Elementary School', (41.4892036, -81.8219393))",6,5,196,17,"('Harding Middle School', (41.4767027, -81.8125869))",15,9,391,17,"('Lakewood High School', (41.48121939999999, -81.7920542))"
16,160200,5,23,25,22,68,84,"('Horace Mann Elementary School', (41.4892036, -81.8219393))",6,5,123,17,"('Harding Middle School', (41.4767027, -81.8125869))",15,9,345,17,"('Lakewood High School', (41.48121939999999, -81.7920542))"
41,160300,6,25,26,23,286,84,"('Horace Mann Elementary School', (41.4892036, -81.8219393))",6,5,152,17,"('Harding Middle School', (41.4767027, -81.8125869))",14,8,268,17,"('Lakewood High School', (41.48121939999999, -81.7920542))"
123,160400,5,24,24,22,338,67,"('Emerson Elementary School', (41.4900961, -81.784577))",6,5,219,17,"('Harding Middle School', (41.4767027, -81.8125869))",15,8,180,17,"('Lakewood High School', (41.48121939999999, -81.7920542))"
107,160500,5,22,22,19,98,67,"('Emerson Elementary School', (41.4900961, -81.784577))",7,5,312,17,"('Harding Middle School', (41.4767027, -81.8125869))",15,8,124,17,"('Lakewood High School', (41.48121939999999, -81.7920542))"
238,160601,5,17,19,16,192,67,"('Emerson Elementary School', (41.4900961, -81.784577))",7,5,416,49,"('Harding Middle School', (41.4767027, -81.8125869))",15,8,171,49,"('Hope Academy Northwest Campus', (41.4822414, -81.76708620000001))"
430,160602,5,16,18,16,201,67,"('Emerson Elementary School', (41.4900961, -81.784577))",7,5,404,49,"('Harding Middle School', (41.4767027, -81.8125869))",15,8,99,49,"('Hope Academy Northwest Campus', (41.4822414, -81.76708620000001))"
239,160700,6,21,22,22,246,84,"('Horace Mann Elementary School', (41.4892036, -81.8219393))",3,4,124,4,"('Rocky River Middle School', (41.475781, -81.842398))",15,9,322,4,"('Rocky River High School', (41.473676399999995, -81.85114920000001))"
17,160800,6,20,22,22,243,84,"('Horace Mann Elementary School', (41.4892036, -81.8219393))",3,4,87,4,"('Harding Middle School', (41.4767027, -81.8125869))",15,9,358,4,"('Rocky River High School', (41.473676399999995, -81.85114920000001))"
240,160900,6,16,22,22,387,84,"('Horace Mann Elementary School', (41.4892036, -81.8219393))",3,4,57,4,"('Harding Middle School', (41.4767027, -81.8125869))",14,9,352,4,"('Rocky River High School', (41.473676399999995, -81.85114920000001))"
42,161000,6,20,22,21,281,84,"('Horace Mann Elementary School', (41.4892036, -81.8219393))",3,4,21,17,"('Harding Middle School', (41.4767027, -81.8125869))",14,8,284,17,"('Lakewood High School', (41.48121939999999, -81.7920542))"
379,161100,4,19,22,21,401,84,"('Horace Mann Elementary School', (41.4892036, -81.8219393))",3,4,12,17,"('Harding Middle School', (41.4767027, -81.8125869))",13,8,201,17,"('Lakewood High School', (41.48121939999999, -81.7920542))"
241,161200,5,20,20,20,407,4,"('Menlo Park Academy', (41.4613842, -81.79553259999999))",3,4,47,17,"('Harding Middle School', (41.4767027, -81.8125869))",14,8,111,17,"('Lakewood High School', (41.48121939999999, -81.7920542))"
124,161300,5,18,19,19,392,67,"('Emerson Elementary School', (41.4900961, -81.784577))",3,4,111,17,"('Harding Middle School', (41.4767027, -81.8125869))",13,8,41,17,"('Lakewood High School', (41.48121939999999, -81.7920542))"
108,161400,6,17,17,17,362,67,"('Emerson Elementary School', (41.4900961, -81.784577))",3,4,197,17,"('Harding Middle School', (41.4767027, -81.8125869))",13,8,18,17,"('Lakewood High School', (41.48121939999999, -81.7920542))"
43,161500,5,15,16,16,350,67,"('Emerson Elementary School', (41.4900961, -81.784577))",3,4,309,17,"('Harding Middle School', (41.4767027, -81.8125869))",13,8,83,17,"('Lakewood High School', (41.48121939999999, -81.7920542))"
125,161600,5,14,18,16,297,67,"('Emerson Elementary School', (41.4900961, -81.784577))",6,5,378,49,"('Harding Middle School', (41.4767027, -81.8125869))",13,8,106,49,"('Hope Academy Northwest Campus', (41.4822414, -81.76708620000001))"
242,161700,5,15,17,15,325,77,"('Louisa May Alcott Elementary School', (41.4826234, -81.7568792))",6,5,403,49,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",12,7,26,49,"('Hope Academy Northwest Campus', (41.4822414, -81.76708620000001))"
335,161800,5,13,14,14,324,134,"('McKinley School', (41.461659000000004, -81.774703))",3,4,338,49,"('Constellation Schools: Westside Community School of the Arts', (41.451757, -81.763283))",12,7,152,49,"('Hope Academy Northwest Campus', (41.4822414, -81.76708620000001))"
243,170101,6,26,19,21,413,66,"('Adrian Elementary School', (41.5311063, -81.52604529999999))",6,4,26,27,"('Memorial Junior High School', (41.5258261, -81.5078735))",13,8,82,27,"('Brush High School', (41.5220323, -81.5052972))"
44,170102,6,27,20,23,275,45,"('Millridge Elementary School', (41.5350898, -81.47638570000001))",6,5,209,27,"('Memorial Junior High School', (41.5258261, -81.5078735))",14,8,276,27,"('Brush High School', (41.5220323, -81.5052972))"
126,170201,5,19,20,21,355,28,"('Sunview Elementary School', (41.5104539, -81.4808467))",6,5,215,27,"('Memorial Junior High School', (41.5258261, -81.5078735))",14,9,203,27,"('Brush High School', (41.5220323, -81.5052972))"
212,170202,6,23,23,23,25,28,"('Sunview Elementary School', (41.5104539, -81.4808467))",5,5,388,27,"('Memorial Junior High School', (41.5258261, -81.5078735))",14,9,368,27,"('Brush High School', (41.5220323, -81.5052972))"
213,171102,6,29,23,20,418,47,"('Glendale Primary School', (41.392264000000004, -81.554096))",6,3,35,44,"('Milkovich Middle School', (41.414935799999995, -81.54010140000001))",12,6,164,44,"('Maple Heights High School', (41.4129122, -81.5614395))"
18,171103,6,25,21,17,422,117,"('Barack Obama School', (41.398255799999994, -81.5726938))",5,2,275,44,"('Milkovich Middle School', (41.414935799999995, -81.54010140000001))",11,6,69,44,"('Maple Heights High School', (41.4129122, -81.5614395))"
394,171104,6,27,20,17,435,129,"('John Dewey Elementary School', (41.4360035, -81.5140385))",4,2,31,37,"('Milkovich Middle School', (41.414935799999995, -81.54010140000001))",9,4,115,37,"('Northeast Ohio College Preparatory School', (41.413961, -81.531446))"
380,171203,6,25,21,17,343,90,"('William Foster Elementary School', (41.4146536, -81.59456970000001))",6,3,258,44,"('Garfield Heights Middle School', (41.40515739999999, -81.6010845))",13,7,200,44,"('Maple Heights High School', (41.4129122, -81.5614395))"
45,171204,6,27,23,20,344,117,"('Barack Obama School', (41.398255799999994, -81.5726938))",6,3,283,44,"('Milkovich Middle School', (41.414935799999995, -81.54010140000001))",13,7,35,44,"('Maple Heights High School', (41.4129122, -81.5614395))"
214,171205,5,27,23,20,26,117,"('Barack Obama School', (41.398255799999994, -81.5726938))",6,3,351,44,"('Garfield Heights Middle School', (41.40515739999999, -81.6010845))",13,7,271,44,"('Maple Heights High School', (41.4129122, -81.5614395))"
81,171206,5,29,24,21,188,81,"('Abraham Lincoln School', (41.3968429, -81.57301))",6,3,357,44,"('Garfield Heights Middle School', (41.40515739999999, -81.6010845))",16,8,384,44,"('Maple Heights High School', (41.4129122, -81.5614395))"
215,172101,6,27,24,23,326,45,"('Millridge Elementary School', (41.5350898, -81.47638570000001))",6,5,339,15,"('Mayfield Middle School', (41.5297553, -81.4377439))",14,8,206,15,"('Mayfield High School', (41.5365444, -81.45948299999999))"
127,172102,6,29,25,23,393,51,"('Lander Elementary School', (41.513831, -81.464625))",7,5,112,15,"('Mayfield Middle School', (41.5297553, -81.4377439))",16,9,155,15,"('Mayfield High School', (41.5365444, -81.45948299999999))"
440,172103,6,29,24,23,365,41,"('Mayfield Center Elementary School', (41.539986799999994, -81.4401733))",7,5,10,15,"('Mayfield Middle School', (41.5297553, -81.4377439))",16,9,303,15,"('Mayfield High School', (41.5365444, -81.45948299999999))"
216,172201,6,27,25,23,114,51,"('Lander Elementary School', (41.513831, -81.464625))",7,5,337,15,"('Mayfield Middle School', (41.5297553, -81.4377439))",15,9,372,15,"('Mayfield High School', (41.5365444, -81.45948299999999))"
128,172202,6,28,25,23,288,51,"('Lander Elementary School', (41.513831, -81.464625))",7,5,316,15,"('Mayfield Middle School', (41.5297553, -81.4377439))",16,9,396,15,"('Mayfield High School', (41.5365444, -81.45948299999999))"
395,173103,6,27,24,23,370,30,"('Big Creek Elementary School', (41.3673674, -81.8088984))",5,5,48,28,"('Middleburg Heights Junior High', (41.3784354, -81.8039891))",14,7,415,28,"('Valley Forge High School', (41.3720144, -81.7556287))"
19,173104,6,27,27,23,379,30,"('Big Creek Elementary School', (41.3673674, -81.8088984))",6,5,126,18,"('Middleburg Heights Junior High', (41.3784354, -81.8039891))",16,9,327,18,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
46,173105,6,29,25,23,358,40,"('Whitney Elementary School', (41.344397, -81.79040690000001))",6,5,328,28,"('Middleburg Heights Junior High', (41.3784354, -81.8039891))",16,9,425,28,"('Valley Forge High School', (41.3720144, -81.7556287))"
217,173106,6,29,27,23,225,30,"('Big Creek Elementary School', (41.3673674, -81.8088984))",5,5,259,18,"('Middleburg Heights Junior High', (41.3784354, -81.8039891))",16,9,422,18,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
129,173107,6,29,24,23,403,30,"('Big Creek Elementary School', (41.3673674, -81.8088984))",6,5,376,18,"('Middleburg Heights Junior High', (41.3784354, -81.8039891))",16,9,283,18,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
218,174103,5,30,24,23,121,23,"('Forest Elementary School', (41.410543200000006, -81.941755))",7,5,325,16,"('North Olmsted Middle School', (41.416638299999995, -81.91906469999999))",15,9,280,16,"('North Olmsted High School', (41.4062671, -81.9253875))"
336,174104,6,30,20,23,273,72,"('Pine  School', (41.427771500000006, -81.9196337))",6,5,140,25,"('North Olmsted Middle School', (41.416638299999995, -81.91906469999999))",14,9,299,25,"('Albert Einstein Academy for Letters', (41.4373765, -81.949449))"
47,174105,6,29,22,23,150,72,"('Pine  School', (41.427771500000006, -81.9196337))",6,5,76,16,"('North Olmsted Middle School', (41.416638299999995, -81.91906469999999))",15,9,346,16,"('North Olmsted High School', (41.4062671, -81.9253875))"
219,174106,6,27,21,23,190,26,"('Birch Elementary School', (41.425407, -81.889489))",5,5,368,16,"('North Olmsted Middle School', (41.416638299999995, -81.91906469999999))",16,9,436,16,"('North Olmsted High School', (41.4062671, -81.9253875))"
130,174107,6,25,21,23,101,59,"('Maple Intermediate Elementary School', (41.439192799999994, -81.8886046))",5,5,306,67,"('Lewis F Mayer Middle School', (41.4419043, -81.85534870000001))",17,9,392,67,()
396,174203,6,30,24,23,200,55,"('Chestnut Intermediate Elementary School', (41.399148600000004, -81.953278))",7,5,383,16,"('Olmsted Falls Middle School', (41.3713867, -81.936009))",15,9,403,16,"('North Olmsted High School', (41.4062671, -81.9253875))"
381,174204,5,30,22,23,194,25,"('Spruce Elementary School', (41.3988089, -81.9385314))",6,5,198,16,"('North Olmsted Middle School', (41.416638299999995, -81.91906469999999))",14,9,55,16,"('North Olmsted High School', (41.4062671, -81.9253875))"
220,174205,6,28,22,23,226,33,"('Butternut Elementary School', (41.4083604, -81.91793940000001))",7,5,143,16,"('North Olmsted Middle School', (41.416638299999995, -81.91906469999999))",16,9,210,16,"('North Olmsted High School', (41.4062671, -81.9253875))"
