,TRACT,MIN_DOWN,MEDIAN_DOWN,MAX_DOWN,library_in_1.5_miles_count
185,118200,0.768,6,50,5
186,119100,2,15,75,4
187,119501,0.768,15,1000,2
188,119800,0.768,15,75,5
189,120801,0.768,15,300,4
190,121100,0.768,15,75,3
191,121500,2,15,75,4
192,122200,0.768,10.5,300,2
193,123700,0.768,6,75,1
194,124100,0.768,6,300,1
195,124202,0.768,5,75,2
196,131102,0.768,6,300,1
197,132100,2,6,300,1
198,132301,0.768,6,300,1
199,134203,0.768,6,75,0
200,136102,0.768,15,75,0
201,138108,0.768,15,75,1
202,140600,0.768,5,75,2
203,140900,0.768,15,75,3
204,141000,0.768,10.5,75,3
205,141300,0.768,5,75,3
206,141500,0.768,15,75,2
207,141602,0.768,15,75,2
208,123501,0.768,5,75,2
209,154604,0.768,5,75,1
210,102900,0.768,6,75,6
211,178206,0.768,6,75,1
212,170202,0.768,15,75,0
213,171102,0.768,6,75,2
214,171205,1.5,6,75,1
215,172101,2,6,75,0
216,172201,0.768,6,75,0
217,173106,0.768,6,75,1
218,174103,0.768,6,75,1
219,174106,0.768,6,75,0
220,174205,1.5,6,75,1
221,175103,0.768,6,75,0
222,175106,2,10.5,75,1
223,175202,2,6,75,0
224,177104,1.5,10.5,75,0
225,177202,0.768,15,75,1
226,177302,0.768,15,75,1
227,177501,0.768,6,75,1
228,177504,2,6,50,0
229,177607,0.768,6,50,0
230,177608,0.768,5,75,1
231,179102,0.768,5,50,1
232,181100,0.768,5,50,1
233,181203,0.768,5,50,1
234,182106,0.768,5,15,0
235,101200,0.768,6,75,2
236,156102,0.768,5,50,1
237,160100,0.768,5,50,2
238,160601,0.768,5,75,1
239,160700,0.768,10,75,2
240,160900,0.768,5,75,2
241,161200,0.768,6,75,2
242,161700,0.768,6,75,2
243,170101,0.768,6,75,1
244,101400,1.5,6,75,4
245,101501,0.768,10,75,4
246,101901,0.768,6,75,3
247,102200,0.768,6,75,2
248,102402,0.768,6,50,3
249,102800,0.768,6,75,6
250,103500,0.768,6,50,4
251,103800,0.768,6,75,5
252,104200,0.768,6,75,5
253,107802,0.768,15,300,2
254,108301,0.768,15,300,2
255,109301,0.768,15,300,4
256,111401,0.768,15,300,4
257,111600,0.768,15,300,3
258,111700,0.768,15,75,3
259,112200,0.768,6,75,4
260,112301,0.768,6,50,4
261,113101,0.768,5,300,5
262,113600,0.768,6,50,4
263,114300,0.768,5,300,3
264,114900,0.768,6,75,4
265,115300,0.768,5,50,3
266,115700,0.768,6,50,1
267,115800,2,6,50,2
268,116400,0.768,6,50,4
269,116800,0.768,6,50,2
270,117102,0.768,6,75,1
271,117300,0.768,6,75,2
272,117700,0.768,5,75,2
273,118101,0.768,5,50,5
274,118602,0.768,6,50,4
275,119202,0.768,6,50,2
276,119402,0.768,6,50,2
277,119600,0.768,6,50,3
278,101101,0.768,6,50,2
279,120200,2,6,50,3
280,120500,0.768,5,75,5
281,120802,2,6,50,4
282,121200,0.768,6,50,4
283,121403,0.768,6,75,1
284,121700,0.768,6,50,4
285,123100,0.768,5,75,2
286,123400,0.768,5,75,1
287,123601,0.768,5,75,2
288,123800,0.768,10,75,0
289,123900,0.768,5,75,3
290,124300,0.768,6,75,2
291,124500,0.768,5,400,1
292,130104,0.768,6,75,1
293,130106,0.768,6,50,0
294,131103,0.768,5.5,75,2
295,132302,0.768,6,75,1
296,133103,1.5,6,75,0
297,134205,0.768,6,50,1
298,135104,0.768,6,75,0
299,136101,0.768,6,75,0
300,136103,0.768,6,75,0
301,137101,2,15,75,1
302,138105,0.768,6,75,0
303,138110,2,10.5,75,1
304,140500,1.5,6,75,1
305,152101,0.768,6,75,1
306,152202,2,6,75,1
307,152604,1.5,6,75,1
308,152702,0.768,6,75,0
309,152703,0.768,6,75,0
310,153107,0.768,6,75,2
311,154501,0.768,6,75,1
312,119900,0.768,5,50,3
313,183200,0.768,6,50,3
314,183402,2,6,50,3
315,183603,0.768,6,50,4
316,184103,0.768,6,50,0
317,184104,0.768,5,50,0
318,185102,0.768,6,50,1
319,185203,0.768,6,75,2
320,186104,0.768,6,75,0
321,186202,0.768,6,75,0
322,186206,0.768,5,50,0
323,193900,0.768,5.5,50,1
324,194500,0.768,6,50,1
325,194900,0.768,5,50,1
326,195800,0.768,5,50,0
327,196000,0.768,5,50,3
328,196300,0.768,5,50,1
329,980100,0.768,6,50,4
330,120600,0.768,5,50,3
