TRACT,WALK_SCORE,BIKE_SCORE,DEMOGRAPHIC_SCORE,CRIME_SCORE,LIBRARY_COUNT
101101,65,54.166666666666664,2.3333333333333335,2.3333333333333335,2
101102,58.5,45,2.3333333333333335,2.3333333333333335,3
101200,66.33333333333333,53.833333333333336,2.5,3,2
101300,55.666666666666664,43.833333333333336,3,2.5,4
101400,59.166666666666664,41.833333333333336,3.5,3.1666666666666665,4
101501,55.5,47.166666666666664,3.5,2,4
101603,56.666666666666664,47.166666666666664,3.3333333333333335,2.5,3
101700,57.666666666666664,48.666666666666664,2.8333333333333335,2.5,3
101800,67.5,54,2.3333333333333335,2.3333333333333335,2
101901,69.5,56.166666666666664,3.8333333333333335,3.6666666666666665,3
102101,53.666666666666664,48,3.3333333333333335,3.1666666666666665,3
102102,45.166666666666664,41.833333333333336,3,2.6666666666666665,1
102200,52.833333333333336,48.833333333333336,2.5,2.6666666666666665,2
102300,63,53.333333333333336,2.5,2.8333333333333335,3
102401,51.166666666666664,52.166666666666664,2.8333333333333335,3,2
102402,63.833333333333336,52.666666666666664,2.6666666666666665,2.8333333333333335,3
102700,68.33333333333333,54.833333333333336,3.6666666666666665,4.166666666666667,5
102800,67.66666666666667,52.666666666666664,4.166666666666667,3.6666666666666665,6
102900,71.33333333333333,53.5,4,3.3333333333333335,6
103100,68.33333333333333,59.666666666666664,3,2.5,3
103300,65.5,61.333333333333336,2.3333333333333335,2.5,2
103400,73.83333333333333,62.833333333333336,3.5,3.5,4
103500,72.83333333333333,63.666666666666664,3.3333333333333335,3.3333333333333335,4
103602,65,62.333333333333336,2.6666666666666665,2.6666666666666665,2
103800,69.5,59.333333333333336,3.3333333333333335,3.3333333333333335,5
103900,72,60.5,3.1666666666666665,3,5
104100,70.16666666666667,63.5,2.8333333333333335,2.5,4
104200,67.33333333333333,61.666666666666664,3.1666666666666665,2,5
104300,62,60.666666666666664,2.5,2.5,5
104400,59.666666666666664,62.833333333333336,2.6666666666666665,2,4
104600,68.33333333333333,58.333333333333336,2.8333333333333335,2.8333333333333335,6
104800,51.833333333333336,57.666666666666664,3,2.5,5
104900,69.83333333333333,50.833333333333336,3.5,2.5,4
105100,48.833333333333336,55,4,3.3333333333333335,4
105300,67.33333333333333,49.666666666666664,3.6666666666666665,2.8333333333333335,5
105400,59.666666666666664,51,3,2.6666666666666665,5
105500,59.666666666666664,51,3,2.6666666666666665,5
105602,57,54.5,2.5,2.1666666666666665,5
105700,52.666666666666664,52.666666666666664,2.5,2.8333333333333335,3
105900,62,47.5,3.1666666666666665,2.5,2
106100,52.166666666666664,55.166666666666664,2.3333333333333335,3.5,4
106200,61.333333333333336,55.333333333333336,2.6666666666666665,3,2
106300,65,55.833333333333336,2.5,2.6666666666666665,5
106400,65.16666666666667,52.333333333333336,2,2.5,2
106500,61.333333333333336,41.166666666666664,2.6666666666666665,3,2
106600,65.5,51.833333333333336,2.5,2.3333333333333335,2
106800,61,54.166666666666664,2.1666666666666665,3.1666666666666665,2
106900,54.333333333333336,47.166666666666664,3.3333333333333335,3,1
107000,38.333333333333336,41.833333333333336,3.3333333333333335,2.6666666666666665,1
107101,64.16666666666667,53.333333333333336,3.8333333333333335,3,1
107701,79.83333333333333,60.5,3.6666666666666665,2.3333333333333335,3
107802,69.83333333333333,54,4.166666666666667,3,2
108201,68.5,57.666666666666664,4.166666666666667,3,1
