
NEO CANDO Data Export

County,Census Tract,"Renter occupied housing units, number, 2012 5-yr est (ACS 2012 5-year)","Renter occupied housing units, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Renter occupied housing units, percent, 2012 5-yr est (ACS 2012 5-year)","Renter occupied housing units, percent, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Renter occupied housing units, number, 2012 5-yr est (ACS 2012 5-year)","Renter occupied housing units, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Crowded renter-occupied housing units, number, 2012 5-yr est (ACS 2012 5-year)","Crowded renter-occupied housing units, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Crowded renter-occupied housing units, percent, 2012 5-yr est (ACS 2012 5-year)","Crowded renter-occupied housing units, percent, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Renter hhlds for housing burden, number, 2012 5-yr est (ACS 2012 5-year)","Renter hhlds for housing burden, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Renter hhlds with a housing burden, number, 2012 5-yr est (ACS 2012 5-year)","Renter hhlds with a housing burden, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Renter hhlds with a housing burden, percent, 2012 5-yr est (ACS 2012 5-year)","Renter hhlds with a housing burden, percent, 2012 5-yr est (ACS 2012 5-year), Margin of Error","Median gross rent, number, 2012 5-yr est (ACS 2012 5-year)","Median gross rent, number, 2012 5-yr est (ACS 2012 5-year), Margin of Error",
Cuyahoga,1891.12,92,56,6.68,4.05,92,56,0,11,0,11.96,86,57.69,0,11,0,12.79,1404,796,
Cuyahoga,1905.02,335,106,23.88,7.22,335,106,0,11,0,3.28,316,135.36,282,130.62,89.24,15.73,2001,null,
Cuyahoga,1905.03,36,30,5.84,4.86,36,30,0,11,0,30.56,36,35.36,3,17.06,8.33,46.67,1188,128,
Cuyahoga,1905.04,1091,146,28.85,3.61,1091,146,37,60.73,3.39,5.55,1091,246.2,320,145.44,29.33,11.57,867,20,
Cuyahoga,1923.00,53,22,9.28,3.8,53,22,0,11,0,20.75,42,29.53,13,25,30.95,55.4,868,193,
Cuyahoga,1928.00,133,36,18.95,4.93,133,36,0,11,0,8.27,122,43.66,68,37.09,55.74,22.95,1165,201,
Cuyahoga,1929.00,61,23,8.71,3.23,61,23,0,11,0,18.03,42,32.63,9,23.77,21.43,54.09,945,103,
Cuyahoga,1938.00,359,53,75.9,6.9,359,53,7,16.28,1.95,4.53,337,70.29,189,54.18,56.08,11.03,671,18,
Cuyahoga,1939.00,128,31,51.82,9.33,128,31,0,11,0,8.59,126,43.21,90,34.81,71.43,12.78,517,52,
Cuyahoga,1941.00,45,31,4.87,3.35,45,31,0,11,0,24.44,35,33.76,13,25.34,37.14,62.9,864,577,
Cuyahoga,1943.00,347,60,24.77,4.07,347,60,0,11,0,3.17,330,108.49,58,44.1,17.58,12.05,1055,121,
Cuyahoga,1945.00,69,32,7.41,3.4,69,32,0,11,0,15.94,47,35.74,5,17.06,10.64,35.38,1250,506,
Cuyahoga,1948.00,287,39,64.93,7.06,287,39,8,16.28,2.79,5.66,281,63.44,118,44.02,41.99,12.47,767,23,
Cuyahoga,1949.00,114,70,8.86,5.41,114,70,0,11,0,9.65,114,82.12,49,54.36,42.98,36.26,1750,1329,
Cuyahoga,1956.00,595,164,28.65,7.66,595,164,0,11,0,1.85,586,190.32,292,116.49,49.83,11.54,721,29,
Cuyahoga,1957.00,468,104,27.1,5.32,468,104,0,11,0,2.35,455,134.02,220,100.18,48.35,16.79,666,40,
Cuyahoga,1958.00,47,35,3.35,2.49,47,35,0,11,0,23.4,38,36.67,20,29.73,52.63,59.51,1536,1939,
Cuyahoga,1959.00,730,112,35.63,5.24,730,112,0,11,0,1.51,687,174.65,470,135.44,68.41,9.28,1354,276,
Cuyahoga,1960.00,155,62,20.42,7.95,155,62,0,11,0,7.1,155,77.32,125,73.44,80.65,25.02,759,471,
Cuyahoga,1961.00,461,94,39.95,7.72,461,94,0,11,0,2.39,434,108.97,198,73.91,45.62,12.6,730,34,
Cuyahoga,1962.00,1168,118,81.17,4.55,1168,118,0,11,0,0.94,1128,222.45,694,175.63,61.52,9.76,797,51,
Cuyahoga,1963.00,111,63,7.62,4.31,111,63,0,11,0,9.91,108,65.72,73,61.35,67.59,39.18,1194,192,
Cuyahoga,1964.00,658,117,58.28,8.77,658,117,19,21.63,2.89,3.25,593,171.36,193,88.38,32.55,11.56,526,376,
Cuyahoga,1965.00,366,84,59.32,8.81,366,84,0,11,0,3.01,288,112.84,229,90.24,79.51,3.36,598,88,
Cuyahoga,9801.00,0,11,null,null,0,11,0,11,null,null,0,11,0,11,null,null,null,null,
Cuyahoga,9805.00,0,11,null,null,0,11,0,11,null,null,0,11,0,11,null,null,null,null,
Cuyahoga,9811.00,0,11,null,null,0,11,0,11,null,null,0,11,0,11,null,null,null,null,
Cuyahoga,9966.00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Cuyahoga,9977.00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Cuyahoga,9988.00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Cuyahoga,9999.00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
